=============> 2023-04-12 15:54:53 weatherCode = 1 placeCode = 4 rod grade = 2 <=============
74 2023-04-12 18:19:11 fishing time: 11671 ms waiting time: 6563 ms getLegendFish: undefined full: undefined
75 2023-04-12 18:19:22 fishing time: 10884 ms waiting time: 5774 ms getLegendFish: undefined full: undefined
76 2023-04-12 18:19:32 fishing time: 10099 ms waiting time: 4989 ms getLegendFish: undefined full: undefined
77 2023-04-12 18:19:45 fishing time: 12584 ms waiting time: 7474 ms getLegendFish: undefined full: undefined
78 2023-04-12 18:19:56 fishing time: 11448 ms waiting time: 6339 ms getLegendFish: undefined full: undefined
79 2023-04-12 18:20:09 fishing time: 12512 ms waiting time: 7391 ms getLegendFish: undefined full: undefined
80 2023-04-12 18:20:21 fishing time: 12387 ms waiting time: 7279 ms getLegendFish: undefined full: undefined
81 2023-04-12 18:20:35 fishing time: 14002 ms waiting time: 8889 ms getLegendFish: undefined full: undefined
82 2023-04-12 18:20:45 fishing time: 9412 ms waiting time: 4301 ms getLegendFish: undefined full: undefined
83 2023-04-12 18:20:58 fishing time: 12851 ms waiting time: 7742 ms getLegendFish: undefined full: undefined
84 2023-04-12 18:21:10 fishing time: 12277 ms waiting time: 7157 ms getLegendFish: undefined full: undefined
85 2023-04-12 18:21:23 fishing time: 13403 ms waiting time: 8295 ms getLegendFish: undefined full: undefined
86 2023-04-12 18:21:33 fishing time: 9319 ms waiting time: 4207 ms getLegendFish: undefined full: undefined
87 2023-04-12 18:21:43 fishing time: 9912 ms waiting time: 4803 ms getLegendFish: undefined full: undefined
88 2023-04-12 18:21:53 fishing time: 10100 ms waiting time: 4990 ms getLegendFish: undefined full: undefined
89 2023-04-12 18:22:04 fishing time: 11748 ms waiting time: 6640 ms getLegendFish: undefined full: undefined
90 2023-04-12 18:22:16 fishing time: 12116 ms waiting time: 7006 ms getLegendFish: undefined full: undefined
91 2023-04-12 18:22:30 fishing time: 13118 ms waiting time: 8008 ms getLegendFish: undefined full: undefined
92 2023-04-12 18:22:41 fishing time: 11833 ms waiting time: 6721 ms getLegendFish: undefined full: undefined
93 2023-04-12 18:22:53 fishing time: 11265 ms waiting time: 6154 ms getLegendFish: undefined full: undefined
94 2023-04-12 18:23:03 fishing time: 10682 ms waiting time: 5572 ms getLegendFish: undefined full: undefined
95 2023-04-12 18:23:15 fishing time: 11200 ms waiting time: 6092 ms getLegendFish: undefined full: undefined
96 2023-04-12 18:23:24 fishing time: 9648 ms waiting time: 4539 ms getLegendFish: undefined full: undefined
97 2023-04-12 18:23:37 fishing time: 12867 ms waiting time: 7757 ms getLegendFish: undefined full: undefined
98 2023-04-12 18:23:52 fishing time: 15042 ms waiting time: 9922 ms getLegendFish: undefined full: undefined
99 2023-04-12 18:24:05 fishing time: 12799 ms waiting time: 7678 ms getLegendFish: undefined full: undefined
